,BEGIN_TIME,EVENT_ID,END_TIME,EVENT_TYPE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,BEGIN_DATE,END_DATE,AFFECTED,DAMAGE,LABEL
3844,1306.0,170314.0,1600.0,Flash Flood,40.813,-91.71799999999999,40.77,-91.71799999999999,05/2009/15,05/2009/15,0,0.0,1
3845,1826.0,170329.0,2100.0,Flood,40.675,-92.01,40.62,-92.01,05/2009/15,05/2009/15,0,0.0,1
3846,500.0,162858.0,1200.0,Flood,37.3407,-82.2299,37.2303,-82.1063,05/2009/9,05/2009/9,0,25000.0,1
3847,1605.0,163464.0,1715.0,Flash Flood,38.3798,-81.797,38.4005,-81.8401,05/2009/25,05/2009/25,0,250000.0,1
3848,2000.0,172595.0,0.0,Flash Flood,36.1,-81.2789,36.0986,-81.2639,05/2009/16,05/2009/17,0,10000.0,1
3849,1845.0,172601.0,2100.0,Flash Flood,37.9029,-79.9014,37.9021,-79.9025,05/2009/16,05/2009/16,0,4000.0,1
3850,2041.0,182321.0,2339.0,Flood,40.0487,-75.0434,40.0533,-75.0395,06/2009/13,06/2009/13,0,0.0,1
3851,653.0,170042.0,1030.0,Flood,41.4888,-92.8635,41.318999999999996,-92.417,06/2009/18,06/2009/25,0,35000.0,1
3852,1532.0,170044.0,2215.0,Flood,41.1254,-92.6374,40.9011,-92.2869,06/2009/18,06/2009/18,0,10000.0,1
3853,830.0,172727.0,930.0,Flash Flood,36.1643,-81.3608,36.1643,-81.3619,05/2009/27,05/2009/27,0,3000.0,1
3854,1700.0,170177.0,1700.0,Flood,41.48,-90.63,41.43,-90.63,05/2009/1,05/2009/4,0,166670.0,1
3855,1700.0,170178.0,1700.0,Flood,41.48,-90.63,41.43,-90.63,05/2009/1,05/2009/4,0,166670.0,1
3856,1130.0,164213.0,900.0,Flood,43.7319,-100.7092,43.7041,-100.7109,02/2009/10,02/2009/15,0,0.0,1
3857,1720.0,183411.0,1750.0,Flash Flood,36.5903,-79.3854,36.5898,-79.3837,06/2009/4,06/2009/4,0,0.0,1
3858,1715.0,183427.0,1745.0,Flash Flood,37.0938,-81.8082,37.094,-81.8081,06/2009/4,06/2009/4,0,500.0,1
3859,1900.0,183450.0,1930.0,Flash Flood,36.93,-81.23,36.9297,-81.2184,06/2009/4,06/2009/4,0,500.0,1
3860,2151.0,184180.0,200.0,Flash Flood,41.3,-91.41,41.23,-91.41,06/2009/21,06/2009/22,0,250000.0,1
3861,421.0,185153.0,621.0,Flash Flood,37.35,-85.2,37.3121,-85.1612,07/2009/31,07/2009/31,0,0.0,1
3862,556.0,185155.0,656.0,Flash Flood,37.2943,-85.3821,37.2709,-85.4271,07/2009/31,07/2009/31,0,0.0,1
3863,1247.0,186459.0,1500.0,Flood,41.6,-71.25,41.5898,-71.2589,07/2009/1,07/2009/1,0,30000.0,1
3864,1845.0,174016.0,2045.0,Flash Flood,40.3,-91.5,40.3,-91.0,06/2009/1,06/2009/1,0,0.0,1
3865,1710.0,183905.0,1815.0,Flash Flood,41.64,-91.05,41.56,-91.05,06/2009/19,06/2009/19,0,50000.0,1
3866,954.0,190587.0,1554.0,Flash Flood,39.64,-94.32,39.635,-94.3212,08/2009/16,08/2009/16,0,1000.0,1
3867,915.0,189545.0,1015.0,Flash Flood,32.75,-90.03,32.7212,-90.01,07/2009/29,07/2009/29,0,15000.0,1
3868,1915.0,190187.0,2000.0,Flash Flood,32.98,-80.03,32.9747,-80.0306,07/2009/8,07/2009/8,0,1000.0,1
3869,1920.0,190188.0,2000.0,Flash Flood,32.93,-79.83,32.9346,-79.8305,07/2009/8,07/2009/8,0,0.0,1
3870,1916.0,190189.0,2000.0,Flash Flood,32.9362,-80.0439,32.9434,-80.0427,07/2009/8,07/2009/8,0,5000.0,1
3871,1934.0,190192.0,2010.0,Flash Flood,32.9011,-80.0082,32.9017,-80.0089,07/2009/8,07/2009/8,0,5000.0,1
3872,900.0,182801.0,1100.0,Flash Flood,34.0419,-93.4827,34.0431,-93.5311,08/2009/1,08/2009/1,0,10000.0,1
3873,738.0,190239.0,1055.0,Flash Flood,37.2616,-80.0161,37.2606,-80.0159,07/2009/20,07/2009/20,0,1000.0,1
3874,637.0,190241.0,1055.0,Flash Flood,37.2641,-79.9574,37.2589,-79.9577,07/2009/20,07/2009/20,0,5000.0,1
3875,613.0,190244.0,1055.0,Flash Flood,37.2611,-80.003,37.2603,-80.0017,07/2009/20,07/2009/20,0,1000.0,1
