Latitude,Longitude
57.651485,-153.026649
63.774184,-135.367048
57.062136,-135.200305
56.986785,-135.112812
58.16875,-133.728413
56.018963,-122.197841
55.980455,-121.993837
55.614911,-131.343076
55.444746,-129.857196
55.379617,-131.523958
55.360909,-131.621875
54.806591,-126.220377
54.352931,-130.192667
54.198632,-130.081628
53.577061,-124.947895
53.025141,-128.898712
52.571058,-122.287766
52.350633,-127.683474
50.838133,-122.857757
50.78838,-122.224191
50.669241,-121.978395
50.549053,-121.188522
50.042258,-125.341134
50.008894,-125.385664
49.993654,-125.58549
49.978854,-123.141864
49.878134,-124.553185
49.795669,-124.317037
49.714611,-123.535961
49.643115,-125.096003
49.469095,-125.103213
49.441146,-122.966292
49.361281,-123.109375
49.353871,-122.778626
49.287254,-122.485047
49.247867,-121.606293
49.231628,-122.357412
49.075481,-124.408878
49.009299,-124.219745
48.762097,-122.417583
48.732466,-121.067305
48.714583,-121.13032
48.647945,-121.688244
48.553012,-121.739583
48.519134,-123.701745
48.498853,-123.989583
47.97651,-121.684206
47.947917,-121.832382
47.839731,-120.024027
47.694805,-121.687896
47.422917,-123.224023
47.412784,-121.751899
47.40625,-122.125586
47.386357,-123.604561
47.323654,-121.340171
47.277406,-121.783969
47.265956,-121.205208
47.249008,-121.072917
47.191381,-122.163202
46.86875,-121.302083
46.800766,-122.311681
46.784269,-122.717038
46.654792,-121.128322
46.53478,-122.422715
46.503741,-122.587665
46.465662,-122.100254
46.363127,-122.546902
46.061944,-122.196295
46.033147,-123.36816
45.965919,-122.333846
45.48446,-122.080702
45.47449,-123.199777
45.45963,-121.842949
45.447907,-122.147373
45.446009,-123.396394
45.410928,-122.670669
45.244019,-122.278125
45.17581,-121.690853
45.115163,-121.804462
44.719354,-122.247917
44.692737,-121.231063
44.601372,-121.281138
44.451859,-122.547437
44.423357,-121.731411
44.418013,-122.668049
44.307998,-122.047767
44.298084,-120.722554
44.17358,-122.328125
44.126141,-122.240036
44.117518,-123.296875
44.111562,-120.78475
43.944837,-122.7552
43.922071,-122.805208
43.913909,-122.750316
43.884069,-124.112624
43.806102,-124.147263
43.78714,-122.954278
43.760449,-121.793773
43.714163,-123.05623
43.708548,-122.421703
43.68125,-121.690207
43.500474,-121.971611
43.321502,-122.19246
43.043562,-123.556589
42.959227,-121.086072
42.84762,-123.176785
42.672829,-122.672183
42.456756,-122.244487
42.24474,-120.509702
42.238815,-121.811463
42.217605,-122.378342
42.200573,-121.125647
42.173159,-122.467427
42.159508,-122.606267
42.121418,-120.619107
42.054661,-123.113916
41.981246,-122.329902
41.935837,-122.434547
41.925594,-121.077838
41.580335,-120.626835
41.539004,-122.376042
41.282818,-122.328648
41.221299,-120.411521
41.132236,-122.07314
41.080791,-120.369363
41.044408,-121.984375
41.022769,-121.671875
40.969544,-120.136727
40.848975,-121.989195
40.839734,-120.785642
40.802949,-122.760687
40.720459,-122.422031
40.599432,-122.540564
40.453906,-120.942659
40.367331,-123.432155
40.282206,-121.023036
40.18168,-120.605896
40.174792,-121.087815
40.115902,-121.144792
39.897279,-121.201337
39.8944,-120.191195
39.885247,-120.47787
39.852783,-121.577083
39.814583,-122.339583
39.724074,-121.017848
39.585442,-122.530468
39.582613,-121.113718
39.539616,-121.481218
39.515671,-121.626157
39.508632,-120.554463
39.473759,-120.106838
39.457142,-121.644792
39.450598,-120.290738
39.449205,-120.651504
39.419618,-120.538742
39.410033,-122.955096
39.391436,-120.095694
39.393473,-121.142593
39.380461,-120.496074
39.3785,-120.141076
39.360383,-122.51038
39.327475,-120.642108
39.325992,-120.113874
39.324244,-121.311458
39.323946,-120.241002
39.301055,-120.597303
39.27364,-120.929889
39.241269,-121.269088
39.197467,-123.180998
39.160972,-120.141773
39.137297,-120.95432
39.110417,-120.46816
39.082147,-122.535917
39.061146,-120.407324
39.052137,-121.314531
39.001324,-120.309375
38.902035,-120.602019
38.867879,-120.439328
38.824184,-120.361604
38.718758,-123.011209
38.719078,-120.568702
38.710426,-121.156241
38.706229,-120.047917
38.537099,-120.254546
38.513668,-122.106948
38.498886,-120.213696
38.48687,-122.38011
38.358061,-122.124379
38.304594,-120.888188
38.257854,-120.850562
38.22259,-121.022487
38.206297,-120.072817
38.152175,-120.813047
38.150588,-122.782567
38.078079,-122.75335
38.031251,-120.760415
37.996266,-122.704717
37.948664,-120.522863
37.945322,-120.444604
37.942618,-122.259099
37.939238,-122.637992
37.915522,-122.209269
37.914458,-120.934253
37.877114,-120.602083
37.86321,-120.875419
37.862702,-121.573362
37.835349,-121.728565
37.763463,-122.098998
37.73131,-122.121362
37.70282,-120.419017
37.66041,-120.679741
37.623489,-120.600783
37.613313,-121.744035
37.586276,-120.271021
37.581726,-122.411617
37.57207,-121.847584
37.526013,-122.362175
37.519675,-120.309147
37.489583,-121.822917
37.200302,-121.989045
37.1814,-121.789454
37.166223,-121.629554
37.117567,-121.548868
37.103536,-122.072401
37.09375,-121.047917
37.067455,-121.082393
37.065915,-121.691241
36.991883,-120.933041
36.393982,-120.834811
35.798659,-120.886663
35.759477,-120.886973
35.448964,-120.884956
35.337189,-120.500628
35.189583,-120.486458
63.511216,-116.004535
58.768234,-117.368775
57.492629,-111.278186
57.093649,-111.643828
57.048879,-111.58125
57.028852,-111.612156
57.021624,-111.569792
57.013996,-111.531141
56.992781,-111.461458
53.891995,-115.065711
52.97061,-115.582343
52.906611,-115.38125
52.869758,-117.804311
52.788419,-112.715519
52.310861,-116.327917
52.077993,-118.569792
52.05434,-114.211991
51.847343,-106.389734
51.268741,-106.864575
51.256575,-111.636385
51.246785,-115.497678
51.214544,-114.707292
51.052067,-118.193246
51.031097,-115.048028
51.000333,-114.093517
50.889583,-115.373958
50.85772,-112.373958
50.713349,-118.105755
50.690145,-115.132517
50.613539,-115.122917
50.353672,-118.53962
50.308754,-107.385953
50.278853,-112.827083
50.252176,-116.94366
50.196758,-114.19101
50.177985,-112.723958
50.072645,-108.047996
49.971057,-109.520492
49.916505,-118.117124
49.830734,-119.965095
49.8221,-110.937116
49.784305,-106.569949
49.683535,-112.3518
49.566441,-113.896979
49.46878,-117.465095
49.379912,-112.58995
49.364707,-113.118838
49.342295,-117.774543
49.326103,-117.618297
49.326763,-113.677261
49.32926,-112.899424
49.303443,-107.807699
49.031265,-117.501042
49.032726,-105.436128
49.004763,-117.611292
48.985004,-117.347793
48.952613,-119.431149
48.828116,-113.523663
48.599168,-109.949037
48.537299,-119.747523
48.531051,-107.523165
48.493392,-113.265832
48.411432,-115.313542
48.346365,-112.698714
48.339662,-114.010417
48.322931,-111.102097
48.302083,-112.29375
48.277278,-118.378177
48.230185,-117.291114
48.181979,-114.619235
48.178294,-116.997745
48.160417,-112.878447
48.001098,-106.414583
47.960411,-112.410422
