,Unnamed: 0,Unnamed: 0.1,EVENT_ID,osm,forest,forest_year,BEGIN_LAT,BEGIN_LON,BEGIN_DATE,precip2,precip1,LABEL,DAMS
65,65,65,186491,185,0,8,42.43,-71.75,07/2009/2,21.2,28,1,5.842472862
66,66,66,186494,1345,0,8,41.7,-71.15,07/2009/2,15.5,14.2,1,38.302898
67,67,67,199742,470,0,8,22.2123,-159.4774,11/2009/26,1,8.1,1,3911.660021
68,68,68,198397,7,0,8,29.5299,-97.4247,11/2009/20,4,26.2,1,70.57000202
69,69,69,198398,5,0,8,29.3,-97.89,11/2009/20,6,37.6,1,40.4840742
70,70,70,201356,848,0,8,36.0928,-79.81,11/2009/11,11.6,28,1,9.255216458
71,71,71,201357,152,0,8,36.0916,-79.7944,11/2009/12,66.6,66.3,1,9.878718918
72,72,72,207583,35,0,8,35.4934,-83.3222,12/2009/9,23.3,24.9,1,33.31623424
73,73,73,207584,43,0,8,35.4332,-83.4472,12/2009/9,23.3,24.9,1,32.20966461
74,74,74,201849,13,0,8,38.0071,-78.7203,11/2009/19,6.2,46.1,1,24.16074316
75,75,75,206400,12,0,8,35.43,-88.67,12/2009/8,6.9,35.7,1,34.48858302
76,76,76,206401,24,0,8,34.8636,-90.0477,12/2009/8,7.7,69.4,1,13.775485
77,77,77,206402,4,0,8,35.27,-89,12/2009/8,7.6,48.7,1,68.46693506
78,78,78,207431,41,0,8,35.1716,-80.7861,12/2009/25,0.4,44.9,1,26.00840242
79,79,79,201358,48,0,8,36.4533,-77.6685,11/2009/12,75.7,129.3,1,13.70974492
80,80,80,201359,446,0,8,36.4345,-77.629,11/2009/12,75,97.9,1,17.76831887
81,81,81,198391,17,0,8,29.6364,-99.005,11/2009/20,3.6,19.6,1,12.6172221
82,82,82,198392,37,0,8,29.3647,-98.7947,11/2009/20,3.2,26.5,1,23.81426345
83,83,83,198393,0,0,8,29.2756,-97.6084,11/2009/20,6,37.6,1,67.73375405
84,84,84,196308,281,0,8,30.1148,-94.1628,09/2009/9,8.7,11.4,1,63.28612979
85,85,85,196312,185,0,8,30.1716,-93.2351,09/2009/28,0,2.6,1,64.2182577
86,86,86,199690,5,0,8,37.2582,-86.9808,11/2009/1,40.5,0,1,20.305689
87,87,87,200151,13,0,8,37.2686,-89.5321,11/2009/19,3.2,0.7,1,48.46991677
88,88,88,199528,1634,0,8,34,-81.02,12/2009/9,23.6,3.9,1,19.27286219
89,89,89,198394,243,0,8,29.5101,-98.3771,11/2009/20,6.8,16.9,1,26.60842211
90,90,90,198395,0,0,8,29.1156,-98.1484,11/2009/20,3.9,14.8,1,23.7802101
91,91,91,201412,80,0,8,38.0048,-92.7371,11/2009/15,1.2,31.4,1,24.38096531
92,92,92,201413,18,0,8,38.35,-92.58,11/2009/15,1.3,29.9,1,16.50417362
93,93,93,201414,10,0,8,38.43,-92.84,11/2009/15,1.2,34.5,1,31.04904246
94,94,94,201415,6,0,8,37.7155,-93.2538,11/2009/15,1,34.6,1,21.06502856
95,95,95,208311,7,0,6,34.2771,-118.1504,12/2009/12,10.6,38.6,1,27.18388975
96,96,96,199214,0,0,8,36.409,-89.35,10/2009/30,20.7,107.3,1,7.857216163
97,97,97,208712,17,0,8,31.8691,-85.2072,12/2009/14,25.2,34.1,1,30.042353
98,98,98,203045,2,0,8,33.0457,-93.4772,12/2009/24,41.4,122.3,1,4.370859629
99,99,99,203046,3,0,8,32.2211,-92.84,12/2009/24,39.7,50.4,1,31.27970183
100,100,100,203050,1,0,8,33.6159,-94.165,12/2009/24,29,86.9,1,20.43288479
101,101,101,146440,65,0,8,44.72,-123.92,01/2009/2,22.2,20.1,1,83.28920243
102,102,102,146445,26,0,8,45.48,-123.12,01/2009/2,113.4,39.6,1,6.250238196
103,103,103,146500,3,0,8,44.75,-123.2,01/2009/2,30.4,25.4,1,56.01329554
104,104,104,146503,103,0,7,45.2342,-122.7581,01/2009/3,53.3,5,1,20.80618098
105,105,105,146504,3808,0,8,45.4844,-122.5801,01/2009/2,109,37.5,1,10.80103859
106,106,106,146505,39,0,8,44.5308,-123.3664,01/2009/2,78.1,45.7,1,46.28646187
107,107,107,146507,4,0,8,44.6754,-123.0122,01/2009/2,83.5,53.2,1,39.53359391
108,108,108,203047,16,0,8,32.9811,-93.1627,12/2009/24,46.9,97.2,1,34.55718821
109,109,109,199906,4,0,8,37.9,-92.59,10/2009/30,61.3,0.4,1,34.20789219
110,110,110,199907,6,0,8,37.87,-92.59,10/2009/30,61.3,0.4,1,37.53007198
111,111,111,199908,1,0,8,37.02,-91.28,10/2009/30,22.3,82.3,1,41.0563177
112,112,112,149147,17,0,8,45.4787,-123.8523,01/2009/8,28.6,14.3,1,35.74123202
113,113,113,149148,6,0,8,45.45,-123.71,01/2009/8,28.6,14.3,1,24.46825495
114,114,114,149149,14,0,8,45.72,-123.89,01/2009/8,29.6,12.6,1,49.02853712
115,115,115,149150,4,0,8,45.3966,-121.583,01/2009/7,13.1,21.4,1,21.46223055
116,116,116,149151,22,0,8,45.47,-123.12,01/2009/8,80,32.3,1,6.240691285
117,117,117,149152,3,0,8,44.75,-123.2,01/2009/8,18.1,16.4,1,56.01329554
118,118,118,203041,265,0,8,32.3975,-93.7669,12/2009/24,32.8,97.7,1,13.36837681
119,119,119,206790,5,0,8,35.2905,-91.7077,12/2009/24,19.1,45.5,1,36.3620973
120,120,120,201981,9,0,8,34.8624,-92.1446,12/2009/24,37.1,144.2,1,26.42517013
121,121,121,202262,6,0,8,35.2022,-91.7213,12/2009/24,19.1,45.5,1,43.12103778
122,122,122,202410,20,0,8,34.7673,-92.2326,12/2009/24,23.3,72.3,1,25.46683668
123,123,123,149141,12,0,8,45.9607,-123.9282,01/2009/7,19.4,86.6,1,44.00483106
124,124,124,149142,155,0,8,46.0295,-123.9107,01/2009/7,19.4,86.6,1,41.88528991
125,125,125,149143,5,0,8,45.98,-123.53,01/2009/8,111.1,22.5,1,13.82606769
126,126,126,199918,0,0,8,37.6,-92.32,10/2009/30,68.8,27,1,72.59663789
127,127,127,151426,4,0,8,37.05,-86.52,01/2009/29,34.9,0,1,35.10781164
128,128,128,151428,9,0,8,37.2545,-85.9024,01/2009/29,68.6,0,1,30.56895594
129,129,129,151429,3,0,8,37.1811,-86.6329,01/2009/29,36.5,0,1,35.87952713
130,130,130,205602,9,0,8,34.7276,-92.5551,12/2009/26,0.5,0,1,15.49410211
131,131,131,204647,257,0,8,35.77,-78.69,12/2009/2,0.6,36.3,1,21.74429558
132,132,132,204648,282,0,8,35.7868,-78.7199,12/2009/2,0.6,36.3,1,21.51859898
133,133,133,204649,667,0,8,35.84,-78.68,12/2009/2,0.5,22.7,1,14.61735547
134,134,134,204650,92,0,8,36.1,-78.46,12/2009/3,28.3,0.2,1,20.44824197
135,135,135,172707,183,0,7,37.93,-95.4,05/2009/8,0,34.3,1,46.96793368
136,136,136,172708,0,0,7,37.9496,-96.8156,05/2009/8,0,26.8,1,12.11870289
137,137,137,149145,6,0,8,46,-123.25,01/2009/7,18.5,54.8,1,9.840561674
138,138,138,149146,131,0,8,46.1,-123.21,01/2009/8,54.8,20.3,1,14.28803416
139,139,139,172701,24,0,4,38.23,-97.77,05/2009/8,0.3,23.4,1,45.49105383
140,140,140,172706,91,0,8,37.53,-95.82,05/2009/8,0,12.8,1,25.17706187
141,141,141,199919,2,0,7,35.709,-90.52,10/2009/13,5.9,56.8,1,24.91980706
