,Unnamed: 0,Unnamed: 0.1,EVENT_ID,osm,forest,forest_year,BEGIN_LAT,BEGIN_LON,BEGIN_DATE,precip2,precip1
0,0,0,200363,1634,0,8,34,-81.02,12/2009/25,1.1,42.3
1,1,1,200364,629,0,8,34.08,-81.18,12/2009/25,1.1,39.3
2,2,2,200366,45,0,8,34.095,-80.9706,12/2009/25,1.1,42.3
3,3,3,200369,13,0,8,34.72,-80.77,12/2009/25,0.5,23.3
4,4,4,200370,13,0,8,34.72,-80.77,12/2009/25,0.5,23.3
5,5,5,206405,2,0,7,35.42,-89.5678,12/2009/8,3,53.6
6,6,6,203911,3938,0,8,45.5068,-122.519,11/2009/7,21.2,33.8
7,7,7,203912,1065,0,8,45.5308,-122.826,11/2009/7,16.1,34.9
8,8,8,200498,3,0,7,38.6694,-92.7964,10/2009/30,63.1,0
9,9,9,200499,507,0,8,38.78,-90.5,10/2009/29,0,9.6
10,10,10,206702,2230,0,8,30.1416,-85.753,12/2009/2,20.4,156.7
11,11,11,206703,101,0,8,29.8176,-85.3051,12/2009/2,15.2,71.5
12,12,12,206705,15,0,8,30.0421,-84.388,12/2009/2,11.5,63.2
13,13,13,199169,246,0,8,33.461,-94.0432,11/2009/29,0,8.9
14,14,14,200409,37,0,7,39.22,-92.13,10/2009/22,0,53.4
15,15,15,200410,3,0,8,39.9566,-92.2989,10/2009/22,0.6,76.4
16,16,16,200411,1,0,8,39.9282,-91.9092,10/2009/22,0.5,73.7
17,17,17,200412,4,0,8,39.04,-92.0922,10/2009/22,0,53.4
18,18,18,200413,8,0,8,39.5109,-92.0524,10/2009/22,0,24.1
19,19,19,200415,79,0,8,38.6818,-90.3042,10/2009/23,47.4,23
20,20,20,201416,6,0,8,37.7399,-93.2108,11/2009/15,1,34.6
21,21,21,201417,10,0,8,38.44,-92.99,11/2009/15,1.2,34.5
22,22,22,198739,3,0,6,41.4888,-92.8635,11/2009/1,0,0
23,23,23,199207,4,0,8,32.9442,-93.5184,11/2009/1,0,0
24,24,24,200490,24,0,8,38.7139,-91.443,10/2009/29,0.1,51
25,25,25,186658,587,0,8,42.52,-71.2,07/2009/7,0,18.9
26,26,26,200268,3,0,7,39.1317,-91.5848,10/2009/8,0.1,121.3
27,27,27,200269,4,0,7,39.1982,-90.7587,10/2009/8,0,59.2
28,28,28,183737,101,0,7,31.8855,-102.3757,06/2009/20,72.7,49.3
29,29,29,202215,123,0,8,35.04,-82.2191,11/2009/11,36.1,44.7
30,30,30,202216,127,0,8,35.353,-80.679,11/2009/11,57.4,56.7
31,31,31,203393,5,0,8,38.5772,-92.0242,11/2009/15,0.8,10.5
32,32,32,203396,8,0,8,38.5541,-92.0174,11/2009/15,0.8,10.5
33,33,33,200270,5,0,8,38.7337,-92.0874,10/2009/8,0.6,125
34,34,34,200271,4,0,8,38.678,-90.7807,10/2009/8,0,71.6
35,35,35,200272,11,0,8,39.3196,-91.4648,10/2009/8,0.1,102.7
36,36,36,200274,9,0,8,38.76,-91.1852,10/2009/8,0,80.7
37,37,37,202269,20,0,8,35.312,-82.654,11/2009/11,55,86.1
38,38,38,202271,12,0,8,34.595,-82.2888,11/2009/11,42.2,46.3
39,39,39,197318,9,0,8,35.024,-86.6648,09/2009/20,63.1,28.3
40,40,40,197319,7,0,8,35.3189,-86.5435,09/2009/20,60.3,19.4
41,41,41,202209,163,0,8,35.425,-82.592,11/2009/11,39.5,38.8
42,42,42,181974,31,0,7,29.2756,-103.3079,06/2009/16,0.7,0
43,43,43,202212,127,0,8,35.353,-80.679,11/2009/11,57.4,56.7
44,44,44,202213,123,0,8,35.04,-82.2191,11/2009/11,36.1,44.7
45,45,45,202214,163,0,8,35.425,-82.592,11/2009/11,39.5,38.8
46,46,46,200408,2,0,8,34.2166,-85.949,10/2009/15,42.3,7.7
47,47,47,200267,5,0,8,39.05,-92.18,10/2009/8,0.7,51.3
48,48,48,169699,16,0,8,33.7,-80.22,07/2009/6,12.9,30.7
49,49,49,202019,5,0,8,36.7777,-83.1747,12/2009/9,10.1,18.9
50,50,50,202021,13,0,8,36.7684,-83.701,12/2009/9,17.3,54.8
51,51,51,197967,6,0,8,33.4801,-88.8243,10/2009/12,0.1,52.3
52,52,52,197975,7,0,8,33.51,-88.4,10/2009/12,0.1,10.4
53,53,53,198427,39,0,8,43.41,-95.12,10/2009/1,0,59.1
54,54,54,202022,7,0,8,36.7837,-83.5897,12/2009/9,17.3,54.8
55,55,55,202856,1,0,8,37.844,-83.4274,12/2009/9,25.6,29.3
56,56,56,203909,784,0,8,45.53,-122.94,11/2009/7,14.9,36.5
57,57,57,203910,2357,0,5,45.5196,-122.6261,11/2009/7,16.8,33.8
58,58,58,200296,14,0,8,33.73,-90.57,10/2009/12,0,68.7
59,59,59,200396,5,0,7,32.18,-91.23,10/2009/13,12.1,36
60,60,60,200492,179,0,8,38.484,-90.743,10/2009/29,0,17.7
61,61,61,200493,6,0,8,38.9352,-90.7258,10/2009/29,0,26.1
62,62,62,200494,2,0,6,40.2973,-92.303,10/2009/29,0,15.5
63,63,63,200495,8,0,8,39.6304,-92.2801,10/2009/29,0.1,14.2
64,64,64,200497,5,0,7,39.6337,-92.1782,10/2009/29,0.2,41.5
65,65,65,186491,185,0,8,42.43,-71.75,07/2009/2,21.2,28
66,66,66,186494,1345,0,8,41.7,-71.15,07/2009/2,15.5,14.2
67,67,67,199742,470,0,8,22.2123,-159.4774,11/2009/26,1,8.1
68,68,68,198397,7,0,8,29.5299,-97.4247,11/2009/20,4,26.2
69,69,69,198398,5,0,8,29.3,-97.89,11/2009/20,6,37.6
70,70,70,201356,848,0,8,36.0928,-79.81,11/2009/11,11.6,28
71,71,71,201357,152,0,8,36.0916,-79.7944,11/2009/12,66.6,66.3
72,72,72,207583,35,0,8,35.4934,-83.3222,12/2009/9,23.3,24.9
73,73,73,207584,43,0,8,35.4332,-83.4472,12/2009/9,23.3,24.9
74,74,74,201849,13,0,8,38.0071,-78.7203,11/2009/19,6.2,46.1
75,75,75,206400,12,0,8,35.43,-88.67,12/2009/8,6.9,35.7
76,76,76,206401,24,0,8,34.8636,-90.0477,12/2009/8,7.7,69.4
77,77,77,206402,4,0,8,35.27,-89,12/2009/8,7.6,48.7
78,78,78,207431,41,0,8,35.1716,-80.7861,12/2009/25,0.4,44.9
79,79,79,201358,48,0,8,36.4533,-77.6685,11/2009/12,75.7,129.3
80,80,80,201359,446,0,8,36.4345,-77.629,11/2009/12,75,97.9
81,81,81,198391,17,0,8,29.6364,-99.005,11/2009/20,3.6,19.6
82,82,82,198392,37,0,8,29.3647,-98.7947,11/2009/20,3.2,26.5
83,83,83,198393,0,0,8,29.2756,-97.6084,11/2009/20,6,37.6
84,84,84,196308,281,0,8,30.1148,-94.1628,09/2009/9,8.7,11.4
85,85,85,196312,185,0,8,30.1716,-93.2351,09/2009/28,0,2.6
86,86,86,199690,5,0,8,37.2582,-86.9808,11/2009/1,40.5,0
87,87,87,200151,13,0,8,37.2686,-89.5321,11/2009/19,3.2,0.7
88,88,88,199528,1634,0,8,34,-81.02,12/2009/9,23.6,3.9
89,89,89,198394,243,0,8,29.5101,-98.3771,11/2009/20,6.8,16.9
90,90,90,198395,0,0,8,29.1156,-98.1484,11/2009/20,3.9,14.8
91,91,91,201412,80,0,8,38.0048,-92.7371,11/2009/15,1.2,31.4
92,92,92,201413,18,0,8,38.35,-92.58,11/2009/15,1.3,29.9
93,93,93,201414,10,0,8,38.43,-92.84,11/2009/15,1.2,34.5
94,94,94,201415,6,0,8,37.7155,-93.2538,11/2009/15,1,34.6
95,95,95,208311,7,0,6,34.2771,-118.1504,12/2009/12,10.6,38.6
96,96,96,199214,0,0,8,36.409,-89.35,10/2009/30,20.7,107.3
97,97,97,208712,17,0,8,31.8691,-85.2072,12/2009/14,25.2,34.1
98,98,98,203045,2,0,8,33.0457,-93.4772,12/2009/24,41.4,122.3
99,99,99,203046,3,0,8,32.2211,-92.84,12/2009/24,39.7,50.4
100,100,100,203050,1,0,8,33.6159,-94.165,12/2009/24,29,86.9
101,101,101,146440,65,0,8,44.72,-123.92,01/2009/2,22.2,20.1
102,102,102,146445,26,0,8,45.48,-123.12,01/2009/2,113.4,39.6
103,103,103,146500,3,0,8,44.75,-123.2,01/2009/2,30.4,25.4
104,104,104,146503,103,0,7,45.2342,-122.7581,01/2009/3,53.3,5
105,105,105,146504,3808,0,8,45.4844,-122.5801,01/2009/2,109,37.5
106,106,106,146505,39,0,8,44.5308,-123.3664,01/2009/2,78.1,45.7
107,107,107,146507,4,0,8,44.6754,-123.0122,01/2009/2,83.5,53.2
108,108,108,203047,16,0,8,32.9811,-93.1627,12/2009/24,46.9,97.2
109,109,109,199906,4,0,8,37.9,-92.59,10/2009/30,61.3,0.4
110,110,110,199907,6,0,8,37.87,-92.59,10/2009/30,61.3,0.4
111,111,111,199908,1,0,8,37.02,-91.28,10/2009/30,22.3,82.3
112,112,112,149147,17,0,8,45.4787,-123.8523,01/2009/8,28.6,14.3
113,113,113,149148,6,0,8,45.45,-123.71,01/2009/8,28.6,14.3
114,114,114,149149,14,0,8,45.72,-123.89,01/2009/8,29.6,12.6
115,115,115,149150,4,0,8,45.3966,-121.583,01/2009/7,13.1,21.4
116,116,116,149151,22,0,8,45.47,-123.12,01/2009/8,80,32.3
117,117,117,149152,3,0,8,44.75,-123.2,01/2009/8,18.1,16.4
118,118,118,203041,265,0,8,32.3975,-93.7669,12/2009/24,32.8,97.7
119,119,119,206790,5,0,8,35.2905,-91.7077,12/2009/24,19.1,45.5
120,120,120,201981,9,0,8,34.8624,-92.1446,12/2009/24,37.1,144.2
121,121,121,202262,6,0,8,35.2022,-91.7213,12/2009/24,19.1,45.5
122,122,122,202410,20,0,8,34.7673,-92.2326,12/2009/24,23.3,72.3
123,123,123,149141,12,0,8,45.9607,-123.9282,01/2009/7,19.4,86.6
124,124,124,149142,155,0,8,46.0295,-123.9107,01/2009/7,19.4,86.6
125,125,125,149143,5,0,8,45.98,-123.53,01/2009/8,111.1,22.5
126,126,126,199918,0,0,8,37.6,-92.32,10/2009/30,68.8,27
127,127,127,151426,4,0,8,37.05,-86.52,01/2009/29,34.9,0
128,128,128,151428,9,0,8,37.2545,-85.9024,01/2009/29,68.6,0
129,129,129,151429,3,0,8,37.1811,-86.6329,01/2009/29,36.5,0
130,130,130,205602,9,0,8,34.7276,-92.5551,12/2009/26,0.5,0
131,131,131,204647,257,0,8,35.77,-78.69,12/2009/2,0.6,36.3
132,132,132,204648,282,0,8,35.7868,-78.7199,12/2009/2,0.6,36.3
133,133,133,204649,667,0,8,35.84,-78.68,12/2009/2,0.5,22.7
134,134,134,204650,92,0,8,36.1,-78.46,12/2009/3,28.3,0.2
135,135,135,172707,183,0,7,37.93,-95.4,05/2009/8,0,34.3
136,136,136,172708,0,0,7,37.9496,-96.8156,05/2009/8,0,26.8
137,137,137,149145,6,0,8,46,-123.25,01/2009/7,18.5,54.8
138,138,138,149146,131,0,8,46.1,-123.21,01/2009/8,54.8,20.3
139,139,139,172701,24,0,4,38.23,-97.77,05/2009/8,0.3,23.4
140,140,140,172706,91,0,8,37.53,-95.82,05/2009/8,0,12.8
141,141,141,199919,2,0,7,35.709,-90.52,10/2009/13,5.9,56.8
142,142,142,172709,53,0,8,37.87,-95.74,05/2009/8,0,34.5
143,143,143,150691,0,0,8,38.9977,-93.2133,01/2009/1,0,0
144,144,144,201676,4,0,8,36.33,-90.38,10/2009/30,29.7,136.9
145,145,145,146509,78,0,8,45.3973,-122.5089,01/2009/2,114,51.9
146,146,146,146510,14,0,8,45.2774,-122.7197,01/2009/2,113.6,53.3
147,147,147,146511,4,0,8,45.3543,-121.9458,01/2009/2,96,43.9
148,148,148,209012,6,0,8,31.2349,-89.0899,12/2009/14,14.5,91.8
149,149,149,203048,47,0,8,32.1827,-93.2932,12/2009/24,33.1,85.1
150,150,150,141617,9,0,8,46.7333,-120.726,01/2009/8,4.2,6.3
151,151,151,141618,11,0,8,46.7036,-120.486,01/2009/7,3,4.2
152,152,152,141624,9,0,8,46.0427,-118.4929,01/2009/8,8.3,8.6
153,153,153,200603,3,0,5,35.3568,-90.47,10/2009/30,15,36.6
154,154,154,200604,4,0,8,36.1224,-90.48,10/2009/30,16.2,88.2
155,155,155,146433,654,0,8,45.459,-123.8417,01/2009/2,52.6,18
156,156,156,208703,2,0,8,32.0768,-85.5485,12/2009/14,23.2,52.1
157,157,157,208705,6,0,8,32.5613,-85.0661,12/2009/14,16.8,32.5
158,158,158,208709,17,0,8,33.7502,-88.1105,12/2009/24,1.1,23.4
159,159,159,199910,6,0,8,37.86,-91.77,10/2009/30,16.6,66.3
160,160,160,196171,77,0,8,35.1684,-90.1725,09/2009/18,15.7,21.9
161,161,161,196180,4,0,8,34.57,-89.12,09/2009/18,21.9,15.1
162,162,162,196182,9,0,8,34.7095,-88.9749,09/2009/18,44.2,35.6
163,163,163,196184,8,0,8,34.83,-88.32,09/2009/18,31.3,19.9
164,164,164,196190,9,0,8,34.62,-90.15,09/2009/20,42.9,23.9
165,165,165,196193,348,0,8,35.1262,-89.7974,09/2009/20,48,23.4
166,166,166,147907,7,0,8,39.0558,-87.6113,01/2009/1,0,0
167,167,167,204645,199,0,8,36,-78.8,12/2009/2,0.2,38.4
168,168,168,204646,260,0,8,35.9735,-78.5341,12/2009/2,0.6,32.1
169,169,169,174729,76,0,8,41.4824,-88.1907,06/2009/16,0,9.2
170,170,170,197156,40,0,5,34.7315,-111.9745,09/2009/12,0.2,0
171,171,171,152654,3,0,6,38.6694,-87.5636,01/2009/2,0,0
172,172,172,152652,201,0,8,40.1969,-85.3754,01/2009/6,0.1,4.1
173,173,173,208329,629,0,8,34.2331,-118.2238,12/2009/13,43.2,4.3
174,174,174,196158,8,0,8,34.978,-90.7567,09/2009/18,10,32.6
175,175,175,196160,5,0,8,35.0622,-88.3781,09/2009/18,43.8,34.9
176,176,176,196162,2,0,8,33.8776,-89.9586,09/2009/18,11.2,14.6
177,177,177,208673,64,0,8,33.76,-88.11,12/2009/8,3.5,36.7
178,178,178,201980,10,0,8,34.9434,-92.0991,12/2009/24,37.1,144.2
179,179,179,196165,124,0,8,35.0764,-90.0872,09/2009/18,35.1,44
180,180,180,196166,1,0,8,35.7,-88.13,09/2009/18,36.6,12.6
181,181,181,196172,61,0,8,34.9062,-88.5062,09/2009/18,43.8,34.9
182,182,182,208687,5,0,8,34.2187,-88.1474,12/2009/8,4.6,28
183,183,183,172663,8,0,8,37.0809,-95.6889,05/2009/8,0,1.6
184,184,184,196802,14,0,8,34.679,-88.55,09/2009/20,80.1,22.5
185,185,185,197322,4,0,8,35.3313,-86.5302,09/2009/20,58.6,30.9
186,186,186,197341,28,0,8,34.6724,-87.3146,09/2009/25,6.5,10.2
187,187,187,207429,29,0,8,35.3907,-82.4234,12/2009/25,2.1,69.3
188,188,188,198919,8,0,8,36.2589,-91.0032,10/2009/9,8.5,46.1
189,189,189,199090,98,0,8,34.27,-88.72,10/2009/13,18.7,24.3
190,190,190,199092,4,0,8,34.3658,-89,10/2009/13,5.7,26.9
191,191,191,196803,5,0,8,35.1234,-90.77,09/2009/21,11.7,4.3
192,192,192,196805,238,0,8,35.8166,-90.7068,09/2009/21,8.9,3.9
193,193,193,196854,7,0,8,33.7425,-88.3248,09/2009/23,16,71.6
194,194,194,196855,7,0,8,34.9832,-88.9779,09/2009/23,13.3,42
195,195,195,196856,2,0,8,33.7481,-90.2015,09/2009/23,3.4,19.6
196,196,196,196925,3,0,8,33.899,-89.18,09/2009/24,66.1,19.4
